Type-Code,JCODE as Number,J-Code,GCODE as Number,G-Code,Name,Definition
pl_hy_stt_tamp_,144,J144,144,G144,plastic tampons and tampon applicators,A feminine hygiene product designed to absorb the menstrual flow or a plug of material used to stop a wound or block an opening in the body and absorb blood or secretions. The tampon applicator should be recorded within this category. 
ct_nn_tex_,145,J145,145,G145,other textiles,"Other textile items, including pieces of cloth, rags, etc. that are unidentifiable, as well as other identifiable cloth textile items, which do not fit in any other category of this list."
pp_nn_bag_,147,J147,147,G147,paper bags,"A small bag made of paper, commonly used as shopping bags, packaging, etc."
pp_nn_box_,148,J148,148,G148,cardboard boxes,"A thick, stiff paper that is used to make boxes and models."
pp_fc_b&c_tpak_milk_,150,J150,150,G150,paper cartons/Tetrapak milk,Containers made of carton with a plastic-lining used for milk.
pl_nn_fom_nfpy_,240,J239,,,other foamed plastic items and fragments not made of foamed polystyrene,"Items and fragments (other than packaging or insulation related) made out of foamed sponge-like plastic, such as mattresses, bathing sponges, etc."
pp_fc_b&c_tpak_otpk_,151,J151,151,G151,paper cartons/Tetrapak (non-milk),"Containers made of carton with a plastic-lining used for food products, other than milk."
pl_nn_frg_,,,,,fragments of foamed and non-foamed plastic material,Hard and foamed fragments of plastic material.
pl_nn_frg_fopy_,,,,,fragments of foamed polystyrene,Fragments of foamed polystyrene.
pp_sm_cig_,152,J152,152,G152,paper cigarette packets,"A rectangular container made of paperboard, used as packaging for cigarettes. It may also include a plastic covering."
pp_fc_tab_,,,153,G153,"paper cups, food trays, food wrappers, drink containers","Paper cups, food trays, food wrappers, drink containers."
pp_nn_new_,154,J154,154,G154,paper newspapers & magazines,"Printed publications consisting of paper sheets and containing news, articles, advertisements."
pl_nn_frg_nofp_,,,,,fragments of non-foamed plastic,Fragments of plastic that originate from unidentifiable plastic non-foamed polystyrene items.
pp_re_fwo_,155,J155,155,G155,paper tubes and other pieces of fireworks,Small paper/cardboard containers/tubes filled with explosive chemicals that produce bright coloured light patterns or loud noises when they explode (fireworks).
pp_nn_frg_,156,J156,156,G156,paper fragments,Fragments of paper items that cannot be identified.
pp_nn_opp_,158,J158,158,G158,other paper items,"Other identifiable paper and cardboard items, which do not fit in any other category of this list."
wo_fc_b&c_cork_,159,J159,159,G159,wooden corks,A bottle stopper made of cork or a similar material. Note that plastic corks should be recorded under plastic caps and lids
pl_nn_idp_idfd_,241,J240,,,other identifiable foamed plastic items,"Items that are made of foamed polystyrene, which are identifiable but do not fit in any other litter type category in this list."
pl_nn_idp_idnf_,242,J241,,,other identifiable non-foamed plastic items,"Items that are made of non-foamed artificial polymers, which are identifiable but do not fit in any other litter type category in this list."
wo_nn_pal_,160,J160,160,G160,wooden pallets,A flat wooden structure on which heavy goods are put so that they can be moved using a fork-lift truck.
wo_nn_box_,162,J162,162,G162,"wooden crates, boxes, baskets for packaging",Wooden containers typically used to transport or store different types of items and products. Not fish boxes.
pl_nn_rps_,,,,,"plastic rope, string, cord","Rope, string, cord made of plastic."
wo_fi_trp_,163,J163,163,G163,wooden crab/lobster pots,Stationary wooden traps used to catch crustaceans such as lobsters and crabs. Usually covered in a net.
wo_fi_box_,164,J164,164,G164,wooden fish boxes,"Boxes made of wood, which are used for storing or transferring fish or other seafood."
pl_nn_rps_strg_nodr_,243,J242,,,plastic string and cord (diameter less than 1cm) not from dolly ropes or unidentified,"A material consisting of threads made of plastic twisted together to form a thin length, with a diameter smaller than 1 cm; excluding string and cord from dolly ropes."
wo_fc_ice_,165,J165,165,G165,"wooden ice-cream sticks, chip forks, chopsticks, toothpicks","Various wooden sticks, including sticks from ice-creams, small wooden forks from fast food suppliers (chip forks), tapered sticks of wood held together in one hand and used as eating utensils in Asian cuisine (chopsticks), short pointed pieces of wood used for removing bits of food lodged between the teeth (toothpicks)."
